vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,geschlecht,alter,internetnutzung,arztbesuche,
Cheo31,15,,1,1.8,83,40,12,f,f,21,26,4,
Cheo31,15,,2,1.5,91,26,16,f,f,21,26,4,
Cheo31,15,3,3,2.1,66,104,36,m,f,21,26,4,
Cheo31,15,,4,2.3,76,93,38,m,f,21,26,4,
Cheo31,40,1,1,1.1,100,100,14,f,f,21,26,4,
Cheo31,40,,2,1.9,72,114,,f,f,21,26,4,
Cheo31,40,,3,1.3,100,116,32,m,f,21,26,4,
Cheo31,40,,4,2.3,73,107,,f,f,21,26,4,
Cheo31,6,,1,2.3,74,87,,f,f,21,26,4,
Cheo31,6,,2,1.4,83,32,,m,f,21,26,4,
Cheo31,6,3,3,1.6,80,38,,m,f,21,26,4,
Cheo31,6,,4,2.3,74,113,,f,f,21,26,4,
Cheo31,19,,1,2.4,66,35,41,m,f,21,26,4,
Cheo31,19,,2,2.0,69,23,39,m,f,21,26,4,
Cheo31,19,,3,1.8,83,13,33,m,f,21,26,4,
Cheo31,19,4,4,1.7,85,9,24,f,f,21,26,4,
Cheo31,10,1,1,1.8,80,13,,m,f,21,26,4,
Cheo31,10,,2,1.5,92,7,,m,f,21,26,4,
Cheo31,10,,3,2.3,68,25,,m,f,21,26,4,
Cheo31,10,,4,2.1,78,27,,f,f,21,26,4,
Cheo31,14,,1,1.3,95,12,,m,f,21,26,4,
Cheo31,14,,2,1.0,97,15,,m,f,21,26,4,
Cheo31,14,,3,1.4,89,35,,m,f,21,26,4,
Cheo31,14,4,4,1.7,88,24,,f,f,21,26,4,
Cheo31,35,1,1,1.2,96,14,21,f,f,21,26,4,
Cheo31,35,,2,1.0,95,13,15,f,f,21,26,4,
Cheo31,35,,3,1.8,85,8,,m,f,21,26,4,
Cheo31,35,,4,1.7,94,15,,m,f,21,26,4,
Cheo31,37,,1,1.2,100,28,25,m,f,21,26,4,
Cheo31,37,2,2,1.9,73,27,,f,f,21,26,4,
Cheo31,37,,3,1.3,98,22,11,f,f,21,26,4,
Cheo31,37,,4,2.2,71,23,,m,f,21,26,4,
Cheo31,29,1,1,1.6,86,5,28,m,f,21,26,4,
Cheo31,29,,2,1.8,83,40,,f,f,21,26,4,
Cheo31,29,,3,1.5,90,23,,m,f,21,26,4,
