vpID;scenID;choice;locPos;note;prozent;anzahl;photoID;sex;
Anen27;27;;1;1.5;80;104;;m;
Anen27;27;;2;1.8;91;37;19;f;
Anen27;27;3;3;1.4;94;100;;m;
Anen27;27;;4;1.5;86;28;34;m;
Anen27;34;1;1;1.1;97;11;32;m;
Anen27;34;;2;1.1;96;15;12;f;
Anen27;34;;3;2.3;76;15;;f;
Anen27;34;;4;1.9;68;15;;f;
Anen27;16;1;1;1.9;79;92;33;m;
Anen27;16;;2;1.8;88;9;13;f;
Anen27;16;;3;1.5;91;12;36;m;
Anen27;16;;4;2.1;66;91;41;m;
Anen27;21;;1;1.2;96;31;35;m;
Anen27;21;2;2;1.6;89;86;14;f;
Anen27;21;;3;1.1;99;21;27;m;
Anen27;21;;4;1.6;81;95;21;f;
Anen27;11;;1;2.3;69;26;;m;
Anen27;11;;2;2.0;68;43;;f;
Anen27;11;;3;1.1;96;9;;f;
Anen27;11;4;4;1.1;99;14;;m;
Anen27;23;;1;1.3;97;8;34;m;
Anen27;23;;2;1.4;87;37;31;m;
Anen27;23;;3;1.8;94;23;20;f;
Anen27;23;4;4;1.0;96;5;32;m;
Anen27;17;;1;1.9;72;86;11;f;
Anen27;17;2;2;1.1;97;37;41;m;
Anen27;17;;3;2.2;67;70;15;f;
Anen27;17;;4;1.0;98;35;24;f;
Anen27;12;;1;1.6;89;113;;f;
Anen27;12;;2;1.1;99;44;;m;
Anen27;12;3;3;1.0;100;35;;m;
Anen27;12;;4;1.4;88;102;;m;
Anen27;10;1;1;1.5;88;13;;f;
Anen27;10;;2;1.8;90;7;;f;
Anen27;10;;3;2.2;70;21;;f;
Anen27;10;;4;2.3;72;33;;f;
Anen27;39;1;1;1.4;83;91;11;f;
Anen27;39;;2;1.7;92;119;40;m;
Anen27;39;;3;2.3;72;73;;m;
Anen27;39;;4;2.3;69;106;;f;
Anen27;35;;1;1.7;94;12;;m;
Anen27;35;2;2;1.2;97;12;37;m;
Anen27;35;;3;1.2;99;12;22;f;
Anen27;35;;4;1.5;92;14;;f;
Anen27;37;1;1;1.0;95;29;19;f;
Anen27;37;;2;2.0;66;35;;m;
Anen27;37;;3;2.3;75;38;;f;
Anen27;37;;4;1.3;97;20;35;m;
Anen27;41;1;1;1.1;98;92;12;f;
Anen27;41;;2;1.2;98;71;19;f;
Anen27;41;;3;1.4;84;101;;f;
Anen27;41;;4;1.4;84;120;;f;
Anen27;6;;1;2.0;76;99;;m;
Anen27;6;;2;2.0;68;78;;f;
Anen27;6;3;3;1.8;87;40;;m;
Anen27;6;;4;1.8;81;44;;f;
Anen27;14;;1;1.3;99;6;;f;
Anen27;14;;2;1.3;98;5;;m;
Anen27;14;;3;1.4;87;29;;m;
Anen27;14;4;4;1.6;91;45;;m;
Anen27;29;;1;1.7;81;5;26;m;
Anen27;29;;2;1.5;86;21;;m;
Anen27;29;3;3;1.5;92;45;;f;
Anen27;29;;4;1.4;92;8;12;f;
Anen27;18;1;1;2.4;74;114;30;m;
Anen27;18;;2;2.2;79;114;40;m;
Anen27;18;;3;1.0;98;6;21;f;
Anen27;18;;4;1.2;100;10;14;f;
Anen27;30;;1;2.3;68;113;;m;
Anen27;30;;2;2.2;71;73;;f;
Anen27;30;3;3;2.1;68;42;20;f;
Anen27;30;;4;2.2;78;32;13;f;
Anen27;25;;1;1.3;99;6;39;m;
Anen27;25;;2;1.2;99;70;;m;
Anen27;25;;3;1.3;100;11;19;f;
Anen27;25;4;4;1.0;97;117;;m;
Anen27;19;;1;2.1;66;39;31;m;
Anen27;19;;2;1.7;94;10;23;f;
Anen27;19;3;3;2.1;76;33;25;m;
Anen27;19;;4;1.7;84;8;22;f;
Anen27;7;;1;1.4;85;11;;f;
Anen27;7;;2;2.3;75;106;;m;
Anen27;7;;3;1.5;86;11;;m;
Anen27;7;4;4;2.0;70;116;;f;
Anen27;20;;1;1.9;75;20;28;m;
Anen27;20;;2;1.3;95;6;26;m;
Anen27;20;;3;2.0;78;22;15;f;
Anen27;20;4;4;1.1;97;14;25;m;
anrd16;35;1;1;1.1;96;12;16;f;
anrd16;35;;2;1.4;87;15;;m;
anrd16;35;;3;1.0;99;5;18;f;
anrd16;35;;4;1.5;81;5;;f;
anrd16;36;;1;1.9;69;37;;f;
anrd16;36;2;2;1.5;84;36;33;m;
anrd16;36;;3;1.7;89;21;41;m;
anrd16;36;;4;2.3;68;34;;m;
anrd16;40;;1;2.0;69;92;;f;
anrd16;40;;2;1.0;99;106;16;f;
anrd16;40;;3;2.1;76;116;;f;
anrd16;40;4;4;1.3;97;108;30;m;
