vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,
Asns06,38,,1,1.2,97,42,41,m,
Asns06,38,2,2,1.2,99,44,25,m,
Asns06,38,,3,1.7,83,44,,m,
Asns06,38,,4,1.8,80,29,,m,
Asns06,28,,1,1.5,82,8,21,f,
Asns06,28,2,2,1.5,93,80,,f,
Asns06,28,,3,1.6,86,118,,f,
Asns06,28,,4,1.5,91,10,23,f,
Asns06,20,,1,2.3,68,23,40,m,
Asns06,20,,2,1.3,98,5,24,f,
Asns06,20,,3,1.9,67,49,18,f,
Asns06,20,4,4,1.1,96,8,17,f,
Asns06,35,1,1,1.6,92,12,,m,
Asns06,35,,2,1.8,86,14,,m,
Asns06,35,,3,1.1,97,6,18,f,
Asns06,35,,4,1.0,97,7,14,f,
Asns06,18,,1,2.2,73,85,31,m,
Asns06,18,,2,1.9,66,98,38,m,
Asns06,18,,3,1.2,97,7,13,f,
Asns06,18,4,4,1.3,100,8,33,m,
Asns06,14,,1,1.0,100,5,,f,
Asns06,14,2,2,1.6,84,45,,m,
Asns06,14,,3,1.2,96,11,,f,
Asns06,14,,4,1.8,80,25,,m,
Asns06,41,,1,1.5,81,72,,m,
Asns06,41,,2,1.7,87,78,,m,
Asns06,41,,3,1.2,97,92,14,f,
Asns06,41,4,4,1.0,100,114,13,f,
Asns06,21,1,1,1.2,100,32,29,m,
Asns06,21,,2,1.0,97,50,27,m,
Asns06,21,,3,1.7,88,97,19,f,
Asns06,21,,4,1.4,93,70,15,f,
Asns06,8,,1,1.2,98,37,,m,
Asns06,8,,2,1.9,67,105,,f,
Asns06,8,3,3,1.1,99,26,,f,
Asns06,8,,4,1.9,69,79,,f,
Bert27,28,,1,1.6,80,6,14,f,
Bert27,28,,2,1.8,80,13,33,m,
Bert27,28,3,3,1.7,90,85,,m,
Bert27,28,,4,1.5,82,94,,f,
Bert27,8,,1,2.0,76,94,,f,
Bert27,8,,2,1.2,95,21,,m,
Bert27,8,3,3,1.1,95,41,,m,
Bert27,8,,4,2.0,79,93,,f,
Bert27,23,,1,1.4,85,25,28,m,
Bert27,23,,2,1.0,98,6,25,m,
Bert27,23,3,3,1.8,86,36,33,m,
Bert27,23,,4,1.0,95,10,40,m,
Bert27,34,,1,2.2,72,9,,m,
Bert27,34,2,2,1.3,97,13,35,m,
